castskl_id,catskl_label,company,state
110,CIO-SP3 Small Business,"NEWWAVE TELECOM AND TECHNOLOGIES, INC.",MD
110,CIO-SP3 Small Business,NGEN LLC,MD
110,CIO-SP3 Small Business,NOLIJ CONSULTING LLC,VA
110,CIO-SP3 Small Business,"OCTO CONSULTING GROUP, INC.",VA
110,CIO-SP3 Small Business,OCTO METRIC LLC,GA
110,CIO-SP3 Small Business,"OM PARTNERS , LLC",VA
110,CIO-SP3 Small Business,"OST, INC.",DC
110,CIO-SP3 Small Business,PARADYME MANAGEMENT INC.,MD
110,CIO-SP3 Small Business,PATRIOT L.L.C.,MD
110,CIO-SP3 Small Business,"PEOPLE, TECHNOLOGY AND PROCESSES, LLC",FL
110,CIO-SP3 Small Business,PHOENIX DATA SECURITY INC.,AZ
110,CIO-SP3 Small Business,"PIONEER CORPORATE SERVICES, INC",VA
110,CIO-SP3 Small Business,PL TECHNOLOGY SOLUTIONS LLC,VA
110,CIO-SP3 Small Business,"PLATINUM BUSINESS SERVICES, LLC",MD
110,CIO-SP3 Small Business,"PORTFOLIO MANAGEMENT CONSULTING, LLC",VA
110,CIO-SP3 Small Business,"PRECISE SOFTWARE SOLUTIONS, INC.",MD
110,CIO-SP3 Small Business,"PRO-SPHERE TEK, INC.",VA
110,CIO-SP3 Small Business,"PSI INTERNATIONAL, INC.",VA
110,CIO-SP3 Small Business,QUALX CORPORATION,VA
110,CIO-SP3 Small Business,"QUANTUM TECHNOLOGY GROUP, LLC",NC
110,CIO-SP3 Small Business,QUASARS INCORPORATED,MD
110,CIO-SP3 Small Business,"RELI GROUP, INC.",MD
110,CIO-SP3 Small Business,"RIGHTDIRECTION TECHNOLOGY SOLUTIONS, LLC",MD
110,CIO-SP3 Small Business,RIGIL CORPORATION,DC
110,CIO-SP3 Small Business,RIVERA CONSULTING GROUP INC.,IN
110,CIO-SP3 Small Business,"RYAN CONSULTING GROUP, INC.",IN
110,CIO-SP3 Small Business,SCI HEALTHQUEST,VA
110,CIO-SP3 Small Business,"SCRIBEDOC.COM, INC.",VA
110,CIO-SP3 Small Business,SD SOLUTIONS LLC,VA
110,CIO-SP3 Small Business,"SEKON ENTERPRISE, INC.",VA
110,CIO-SP3 Small Business,SEVATEC INC.,VA
110,CIO-SP3 Small Business,"SKYEPOINT DECISIONS, INC.",VA
110,CIO-SP3 Small Business,"SNAP, INC.",VA
110,CIO-SP3 Small Business,"SOFT TECH CONSULTING, INC.",VA
110,CIO-SP3 Small Business,SOFTDEV INCORPORATED,MD
110,CIO-SP3 Small Business,SPARKSOFT CORPORATION,MD
110,CIO-SP3 Small Business,"ST. JOHN GROUP, LLC, THE",GA
110,CIO-SP3 Small Business,"STRATEGI CONSULTING, LLC",MD
110,CIO-SP3 Small Business,STRATEGIC OPERATIONAL SOLUTIONS INC.,VA
110,CIO-SP3 Small Business,"SUPERIOR GOVERNMENT SOLUTIONS, LLC",VA
110,CIO-SP3 Small Business,SYLUPSION LLC,VA
110,CIO-SP3 Small Business,"SYNECTICS FOR MANAGEMENT DECISIONS, INC.",VA
110,CIO-SP3 Small Business,"SYNEREN TECHNOLOGIES, CORPORATION",VA
110,CIO-SP3 Small Business,SYNERGY BUSINESS INNOVATION & SOLUTIONS INC.,VA
110,CIO-SP3 Small Business,SYSTEMS ENGINEERING SOLUTIONS CORPORATION,MD
110,CIO-SP3 Small Business,"SYSTEMS PLUS, INC.",MD
110,CIO-SP3 Small Business,"T AND T CONSULTING SERVICES, INC.",VA
110,CIO-SP3 Small Business,"TANTUS TECHNOLOGIES, INC.",VA
110,CIO-SP3 Small Business,"TCG, INC.",DC
110,CIO-SP3 Small Business,TCONNEX INC.,VA
110,CIO-SP3 Small Business,"TECHNALINK, INC.",VA
110,CIO-SP3 Small Business,TECHNATOMY CORPORATION,VA
110,CIO-SP3 Small Business,"TECHWERKS, LLC",IL
110,CIO-SP3 Small Business,TEKSYNAP CORPORATION,VA
110,CIO-SP3 Small Business,TELESIS CORPORATION,VA
